篇名,分词结果
"处方中应用大剂量半枝莲的毒性观察","处方中 应用 大剂量 半枝莲 的毒性 观察"
"大剂量乌梢蛇煎剂治疗疖病17例疗效观察","大剂量 乌梢蛇 煎剂 治疗 疖病17例 疗效观察"
"单味大剂量生军对急慢性肝炎重度黄疸退黄有显效(附9例报告)","单味 大剂量 生军 对 急慢性肝炎重度黄疸退黄有显效 (附9例报告)"
"大剂量骨牵引加手法整复治疗陈旧性髋关节脱位(附七例报告)","大剂量 骨牵引 加 手法整复 治疗 陈旧性髋关节脱位 (附七例报告)"
"大剂量甘草解毒作用的临床验证","大剂量 甘草 解毒作用的临床验证"
"大剂量维生素A治疗囊肿性痤疮22例疗效总结","大剂量 维生素A 治疗 囊肿性痤疮22例 疗效总结"
"大剂量维生素C治疗胆道蛔虫胆绞痛24例","大剂量 维生素C 治疗 胆道蛔虫胆绞痛24例"
"大剂量地塞米松治疗红斑性肢痛症2例报告","大剂量 地塞米松 治疗 红斑性肢痛症2例 报告"
"大剂量附子合剂治疗心动过缓40例临床观察","大剂量 附子 合剂 治疗 心动过缓40例临床观察"
"大剂量黄芩为主治疗肺心病","大剂量 黄芩 为主 治疗 肺心病"
"附子大剂量临床运用探讨","附子 大剂量 临床运用 探讨"
"大剂量生大黄治疗急性出血性坏死性肠炎的初步观察","大剂量 生大黄 治疗 急性出血性坏死性肠炎的初步观察"
"大剂量服用田七中毒一例","大剂量 服用 田七 中毒 一例"
"对糖尿病合并感染应用大剂量胰岛素治疗的多议","对糖尿病合并感染 应用 大剂量 胰岛素 治疗 的多议"
"大剂量茵陈治疗急性传染性黄疸型肝炎84例疗效观察","大剂量 茵陈 治疗 急性传染性黄疸型肝炎84例 疗效观察"
"大剂量羚角钩藤汤加味治愈中毒性小儿舞蹈症","大剂量 羚角钩藤汤 加味 治愈 中毒性小儿舞蹈症"
"大剂量内服牛黄解毒片的教训","大剂量 内服牛黄解毒片 的教训"
"大剂量单味生大黄治疗急性黄疸型肝炎的初步观察","大剂量 单味生大黄 治疗 急性黄疸型肝炎的初步观察"
"大剂量黄芪为主治疗慢性肾炎","大剂量 黄芪 为主 治疗 慢性肾炎"
"大剂量黄连素配伍其他药治疗急慢性腹泻疗效观察","大剂量 黄连素 配伍其他药 治疗 急慢性腹泻 疗效观察"
"大剂量重楼治愈乳房纤维腺瘤一例","大剂量 重楼 治愈 乳房纤维腺瘤 一例"
"大剂量萱花治愈重症黄疸一例","大剂量 萱花 治愈 重症黄疸 一例"
"大剂量维生素C为主治疗胆道蛔虫42例的疗效报告(摘要)——附内科综合治疗33例对照比较","大剂量 维生素C 为主 治疗 胆道蛔虫42例的疗效报告 (摘要)——附内科综合 治疗 33例对照比较"
"大剂量环磷酰胺和中医辨证治疗小儿肾病综合征","大剂量 环磷酰胺 和 中医辨证 治疗 小儿肾病综合征"
"大剂量苦寒中药为主治疗红斑狼疮20例疗效观察","大剂量 苦寒中药 为主 治疗 红斑狼疮20例 疗效观察"
"大剂量扁蓄煎剂治疗胆道蛔虫20例疗效观察","大剂量 扁蓄 煎剂 治疗 胆道蛔虫20例 疗效观察"
"“大黄牡丹皮汤”大剂量频服治急性阑尾炎","“大黄牡丹皮汤” 大剂量 频服治急性阑尾炎"
"应用大剂量勾藤与辨证论治相结合治疗高血压病30例","应用 大剂量 勾藤 与 辨证论治 结合 治疗 高血压病30例"
"大剂量Alinamin F对假性近视的疗效","大剂量 Alinamin F 对 假性近视的疗效"
"大剂量异菸肼穴位注射治疗肺结核23例临床疗效分析","大剂量 异菸肼 穴位注射 治疗 肺结核23例临床疗效分析"
"大剂量烘干猪苦胆治疗百日咳","大剂量 烘干猪苦胆 治疗 百日咳"
"口服大剂量硫酸镁作为峻泻剂治疗肝硬化腹水的初步体会","口服 大剂量 硫酸镁 作为峻泻剂 治疗 肝硬化腹水的初步 体会"
"大剂量黄柏盐酸小蘖碱治疗杆菌性痢疾42例初步报告","大剂量 黄柏 盐酸小蘖碱 治疗 杆菌性痢疾42例初步 报告"
"针刺处理较大剂量海群生内服引起反应的初步观察","针刺处理较大剂量 海群生 内服 引起 反应的初步观察"
"针灸处理较大剂量海群生内服引起反应的初步观察","针灸处理较大剂量 海群生 内服 引起 反应的初步观察"
"国医大师张志远运用大剂量中药临证经验探究","国医大师张志远运用 大剂量 中药 临证经验探究"
"大剂量黄蜀葵花为主治疗DKD（A3期）湿瘀阻络证的临床研究","大剂量 黄蜀葵花 为主 治疗 DKD（A3期）湿瘀阻络证的临床研究"
"健脾养正消癥方中运用大剂量黄芪、党参治疗中晚期胃癌脾胃气虚证的临床疗效观察","健脾养正消癥方中运用 大剂量 黄芪 、 党参 治疗 中晚期胃癌脾胃气虚证的临床疗效观察"
"大剂量鸡内金治疗慢性肾脏病的临床观察","大剂量 鸡内金 治疗 慢性肾脏病的临床观察"
"大剂量麝香保心丸对经皮冠状动脉介入治疗围术期心肌损伤的影响","大剂量 麝香保心丸 对 经皮冠状动脉介入 治疗 围术期心肌损伤的 影响"
"黄喘平超大剂量雾化吸入治疗支气管哮喘临床观察","黄喘平 超大剂量 雾化吸入 治疗 支气管哮喘临床观察"
